"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","318","Test POST pet with oversized payload","Petstore API Regression Test Suite","Mon Mar 09 17:21:38 UTC 2026","passed","Mon Mar 09 17:21:38 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithOversizedPayload"
"","41","Test GET pet with invalid URL format","Petstore API Regression Test Suite","Mon Mar 09 17:21:39 UTC 2026","passed","Mon Mar 09 17:21:39 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testGetPetWithInvalidUrlFormat"
"","42","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:21:39 UTC 2026","passed","Mon Mar 09 17:21:39 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","321","Test pet creation with boundary name lengths","Petstore API Regression Test Suite","Mon Mar 09 17:21:34 UTC 2026","broken","Mon Mar 09 17:21:34 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetNameBoundaries"
"","427","Update pet status","Petstore API Smoke Test Suite","Mon Mar 09 17:20:34 UTC 2026","passed","Mon Mar 09 17:20:35 UTC 2026","com.example.smoke.PetSmokeTests","Smoke Tests","com.example.smoke.PetSmokeTests","testUpdatePet"
"","58","Test accessing invalid endpoints","Petstore API Regression Test Suite","Mon Mar 09 17:21:38 UTC 2026","passed","Mon Mar 09 17:21:38 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testInvalidEndpoints"
"","91","Test pet ID boundaries","Petstore API Regression Test Suite","Mon Mar 09 17:21:39 UTC 2026","passed","Mon Mar 09 17:21:39 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testPetIdBoundaries"
"","34","Test finding pets with invalid status values","Petstore API Regression Test Suite","Mon Mar 09 17:21:39 UTC 2026","passed","Mon Mar 09 17:21:39 UTC 2026","com.example.regression.PetRegressionTests","Regression Tests","com.example.regression.PetRegressionTests","testInvalidStatusEnum"
"","43","Test POST pet with malformed JSON","Petstore API Regression Test Suite","Mon Mar 09 17:21:38 UTC 2026","passed","Mon Mar 09 17:21:38 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testPostPetWithMalformedPayload"
"","93","Test GET pet with invalid IDs","Petstore API Regression Test Suite","Mon Mar 09 17:21:37 UTC 2026","passed","Mon Mar 09 17:21:37 UTC 2026","com.example.negative.NegativeTests","Negative Tests","com.example.negative.NegativeTests","testGetPetWithInvalidId"
